timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721221747435,708,1_launch_website-35 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,107559,1576,5,5,https://www.webstaurantstore.com/outlet.html,666,0,65
1721221748403,348,3_select product-857 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,367,2031,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,76
1721221749247,208,1_launch_website-84 - /api:edgecache/getdynamicdata/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,3292,1494,5,5,https://www.webstaurantstore.com/api:edgecache/getdynamicdata/?referer=&ltid=&dlid=&link=,208,0,0
1721221750231,68,3_select product-930 - /refrigeration-equipment.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,71683,1649,5,5,https://www.webstaurantstore.com/refrigeration-equipment.html,61,0,0
1721221751066,54,1_launch_website-99  -/pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,478,823,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221752049,23,1_launch_website-39 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,14697,1515,5,5,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,22,0,0
1721221753018,41,3_select product-880 - /marketing:analytics/getproductdataforanalytics/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,1112,1571,5,5,https://www.webstaurantstore.com/marketing:analytics/getproductdataforanalytics/?itemNumbers=185403953d01%2C185403953d02%2C185403953d12,41,0,0
1721221753864,102,1_launch_website-100 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,478,812,5,5,https://stash.webstaurantstore.com/PageView,0,0,46
1721221754847,35,3_select product-931 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,14697,1544,5,5,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,34,0,0
1721221685699,2264,C_selectproduct ,200,"Number of samples in transaction : 15, number of failing samples : 0",bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,167294,23271,5,5,null,1228,66917,188
1721221755681,94,1_launch_website-102 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1299,5,5,https://stash.webstaurantstore.com/PageView,0,0,0
1721221756664,57,1_launch_website-51 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,600,1459,5,5,https://www.webstaurantstore.com/api/pagecreatorbanner,57,0,0
1721221757632,31,3_select product-894 - /marketing:analytics/getproductdataforanalytics/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,1173,1580,5,5,https://www.webstaurantstore.com/marketing:analytics/getproductdataforanalytics/?itemNumbers=20572%5Eg%2C185mmr721blh%2C20595%5Eg%2C185mmr441blh,31,0,0
1721221758478,133,1_launch_website-98 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,478,822,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221759462,804,1_launch_website-35 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,107529,1576,5,5,https://www.webstaurantstore.com/outlet.html,753,0,51
1721221760296,221,1_launch_website-105 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1349,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221761278,137,1_launch_website-84 - /api:edgecache/getdynamicdata/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,3292,1494,5,5,https://www.webstaurantstore.com/api:edgecache/getdynamicdata/?referer=&ltid=&dlid=&link=,137,0,0
1721221762247,60,3_select product-930 - /refrigeration-equipment.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,71692,1651,5,5,https://www.webstaurantstore.com/refrigeration-equipment.html,52,0,0
1721221763094,65,1_launch_website-99  -/pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,478,823,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221764075,45,1_launch_website-39 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,14697,1515,5,5,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,45,0,0
1721221764911,234,1_launch_website-103 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221765892,157,1_launch_website-100 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,478,812,5,5,https://stash.webstaurantstore.com/PageView,0,0,90
1721221766862,69,3_select product-931 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,14697,1546,5,5,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,68,0,0
1721221697710,2056,C_selectproduct ,200,"Number of samples in transaction : 15, number of failing samples : 0",bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,166219,23308,5,5,null,1172,67163,182
